#{"t_start": 1779876030.825004, "env_id": "None"}
r,l,t
0.0,200,2.040351
0.0,200,2.461352
0.0,200,2.871267
0.0,200,3.307
0.0,200,3.745787
0.0,200,4.172757
0.0,200,5.300386
0.0,200,5.682211
0.0,200,6.029212
0.0,200,6.421108
0.0,200,9.91957
0.0,200,10.384319
0.0,200,11.533723
0.0,200,14.908708
0.0,200,15.271499
0.0,200,15.762455
0.0,200,16.129679
0.0,200,16.531368
0.0,200,17.746995
0.0,200,18.154608
0.0,200,21.667483
0.0,200,22.075858
0.0,200,22.468369
0.0,200,22.848241
0.0,200,23.168881
0.0,200,24.263609
0.0,200,24.609847
0.0,200,24.996862
0.0,200,25.375407
0.0,200,25.722909
0.0,200,29.133245
0.0,200,30.294163
0.0,200,30.718003
0.0,200,31.079102
0.0,200,31.428431
0.0,200,31.82304
0.0,200,32.198236
0.0,200,33.369789
0.0,200,33.765563
0.0,200,34.1771
0.0,200,37.527102
0.0,200,37.920416
0.0,200,38.419166
0.0,200,39.580758
0.0,200,39.991203
0.0,200,40.33123
0.0,200,40.691772
0.0,200,41.096001
0.0,200,41.540563
0.0,200,41.9105
0.0,200,43.032115
0.0,200,46.512366
1.0,20,46.547485
0.0,200,46.927763
0.0,200,50.240262
0.0,200,50.642699
0.0,200,51.045991
0.0,200,52.295883
0.0,200,52.738074
0.0,200,53.150179
0.0,200,53.494767
0.0,200,53.859493
0.0,200,57.426188
0.0,200,58.551494
0.0,200,59.058468
0.0,200,59.547743
0.0,200,60.025765
0.0,200,60.418038
0.0,200,60.86378
0.0,200,62.028177
0.0,200,62.415514
0.0,200,62.883553
0.0,200,66.889703
0.0,200,67.28869
0.0,200,67.692438
0.0,200,68.825399
0.0,200,69.190206
0.0,200,69.616716
0.0,200,69.995443
0.0,200,70.378023
0.0,200,70.804292
0.0,200,71.289794
0.0,200,75.580301
0.0,200,76.00444
0.0,200,76.386176
0.0,200,76.817149
0.0,200,77.282112
0.0,200,77.682389
0.0,200,78.903918
0.0,200,79.266346
0.0,200,79.642181
0.0,200,80.092691
0.0,200,80.540253
0.0,200,87.074172
0.0,200,88.245035
0.0,200,88.685251
0.0,200,89.187366
0.0,200,89.702801
0.0,200,90.166697
0.0,200,90.555664
0.0,200,91.717852
0.0,200,92.191304
0.0,200,92.607376
0.0,200,96.311648
0.0,200,96.731175
0.0,200,97.161008
0.0,200,97.59605
0.0,200,98.764184
0.0,200,99.196985
0.0,200,99.652979
0.0,200,100.066648
0.0,200,100.435009
0.0,200,100.891209
0.0,200,105.182935
0.0,200,105.581905
0.0,200,105.997771
0.0,200,106.442191
0.0,200,106.808596
0.0,200,107.189643
0.0,200,108.386213
0.0,200,108.784668
0.0,200,109.198553
0.0,200,109.606144
0.0,200,113.133565
0.0,200,113.55816
0.0,200,114.806769
0.0,200,115.269873
0.0,200,115.742674
0.0,200,116.142222
0.0,200,116.594958
0.0,200,117.026572
0.0,200,117.470014
0.0,200,121.610738
0.0,200,122.057866
0.0,200,125.597211
0.0,200,126.069759
0.0,200,126.4759
0.0,200,126.911343
0.0,200,128.068879
0.0,200,128.472948
0.0,200,128.850476
0.0,200,129.241705
0.0,200,129.621283
0.0,200,130.035105
0.0,200,134.454332
0.0,200,134.896804
0.0,200,135.411509
0.0,200,135.94338
0.0,200,136.423307
0.0,200,136.89338
0.0,200,138.100313
0.0,200,138.542053
0.0,200,138.973494
0.0,200,139.44074
0.0,200,143.021856
0.0,200,143.460066
0.0,200,143.834089
0.0,200,144.992735
0.0,200,145.411904
0.0,200,145.778119
0.0,200,146.207622
0.0,200,146.691763
0.0,200,147.066736
0.0,200,148.338664
0.0,200,151.86272
0.0,200,152.278965
0.0,200,152.667436
0.0,200,153.097378
0.0,200,153.510091
0.0,200,157.766662
0.0,200,158.16822
0.0,200,158.535803
0.0,200,158.919978
0.0,200,159.333792
0.0,200,162.885899
0.0,200,164.069547
0.0,200,164.533412
0.0,200,165.031107
0.0,200,165.41607
0.0,200,165.819214
1.0,8,165.831541
0.0,200,166.279424
0.0,200,166.697332
0.0,200,167.880578
0.0,200,168.289678
0.0,200,168.673765
0.0,200,172.313911
0.0,200,172.810419
0.0,200,173.22086
0.0,200,174.433119
0.0,200,174.954637
0.0,200,175.317529
0.0,200,175.749141
0.0,200,176.173767
0.0,200,176.553434
0.0,200,177.784693
