#{"t_start": 1779876212.0570667, "env_id": "None"}
r,l,t
0.0,200,1.062779
0.0,200,1.501353
0.0,200,1.902968
0.0,200,2.295597
0.0,200,2.690464
0.0,200,3.050142
0.0,200,4.22731
0.0,200,4.613415
0.0,200,5.036967
0.0,200,5.455081
0.0,200,11.949647
0.0,200,12.382465
0.0,200,13.482014
0.0,200,13.954836
0.0,200,14.357487
0.0,200,14.766521
0.0,200,15.150629
0.0,200,15.516726
0.0,200,16.630153
0.0,200,17.04562
0.0,200,20.530958
0.0,200,20.94261
0.0,200,21.375177
0.0,200,21.82352
0.0,200,22.181421
0.0,200,23.339302
0.0,200,23.781271
0.0,200,24.179002
0.0,200,24.574642
0.0,200,24.985471
0.0,200,28.461559
0.0,200,29.588133
0.0,200,29.965516
0.0,200,30.417637
0.0,200,30.830804
0.0,200,31.257358
0.0,200,31.684274
0.0,200,32.853679
0.0,200,33.341616
0.0,200,33.825273
0.0,200,37.761106
0.0,200,38.245383
0.0,200,38.690664
0.0,200,39.865214
0.0,200,40.272448
0.0,200,40.665085
0.0,200,41.047759
0.0,200,41.402108
0.0,200,41.789035
0.0,200,42.17327
0.0,200,46.291091
0.0,200,49.951549
0.0,200,50.40731
0.0,200,50.840021
0.0,200,51.193045
0.0,200,51.564704
0.0,200,52.662241
0.0,200,53.071138
0.0,200,53.457213
0.0,200,53.823048
0.0,200,54.207228
0.0,200,57.774657
0.0,200,59.015278
0.0,200,59.450467
0.0,200,59.861577
0.0,200,60.261856
0.0,200,60.618122
0.0,200,61.030091
0.0,200,62.140229
0.0,200,62.548507
0.0,200,63.023468
0.0,200,66.595306
0.0,200,67.020084
0.0,200,67.56775
0.0,200,67.926625
0.0,200,69.136111
0.0,200,69.557345
0.0,200,69.982522
0.0,200,70.381146
0.0,200,70.851368
0.0,200,71.296097
0.0,200,75.599865
0.0,200,75.980159
0.0,200,76.381084
0.0,200,76.788008
0.0,200,77.147856
0.0,200,77.553101
0.0,200,78.708187
0.0,200,82.113405
0.0,200,82.566409
0.0,200,82.979474
0.0,200,83.352815
0.0,200,86.883187
0.0,200,88.078108
0.0,200,88.449078
0.0,200,88.835567
0.0,200,89.259323
0.0,200,89.73659
0.0,200,90.274452
0.0,200,90.680525
0.0,200,91.832107
0.0,200,92.232618
0.0,200,95.926923
0.0,200,96.355268
0.0,200,96.761231
0.0,200,97.162273
0.0,200,98.28073
0.0,200,98.657568
0.0,200,99.077791
0.0,200,99.45429
0.0,200,99.83412
0.0,200,100.199437
0.0,200,104.42976
0.0,200,104.864566
0.0,200,105.238988
0.0,200,105.730419
0.0,200,106.138822
0.0,200,106.609151
0.0,200,107.771404
0.0,200,108.170471
0.0,200,108.596008
0.0,200,108.966132
0.0,200,112.476815
0.0,200,112.879088
0.0,200,113.238924
0.0,200,117.704536
0.0,200,118.202304
0.0,200,118.615831
0.0,200,119.046309
0.0,200,119.467952
0.0,200,119.854487
0.0,200,121.05492
0.0,200,121.449321
0.0,200,125.08235
0.0,200,125.497117
0.0,200,125.941005
0.0,200,126.349319
0.0,200,127.4667
0.0,200,127.904215
0.0,200,128.292938
0.0,200,128.707633
1.0,4,128.714865
0.0,200,129.092753
0.0,200,129.618648
0.0,200,133.848488
0.0,200,134.203204
0.0,200,134.612406
0.0,200,135.016763
0.0,200,135.386484
0.0,200,135.782183
0.0,200,136.97489
0.0,200,137.341962
0.0,200,137.803932
0.0,200,138.213854
0.0,200,141.834836
0.0,200,142.281939
0.0,200,142.673415
0.0,200,143.81059
0.0,200,144.206689
0.0,200,144.670809
0.0,200,145.069624
0.0,200,145.459645
0.0,200,145.856901
0.0,200,147.055846
0.0,200,154.080119
0.0,200,154.496068
0.0,200,154.918728
0.0,200,155.352206
0.0,200,155.742408
0.0,200,156.909968
0.0,200,157.323224
0.0,200,157.742842
0.0,200,158.165702
0.0,200,158.602273
0.0,200,158.974013
0.0,200,163.383469
0.0,200,163.873102
0.0,200,164.243603
0.0,200,164.729233
0.0,200,165.18254
0.0,200,165.621413
0.0,200,166.053413
0.0,200,167.257114
0.0,200,167.617427
0.0,200,167.986259
0.0,200,171.628928
0.0,200,172.092968
0.0,200,172.520326
0.0,200,173.667655
0.0,200,174.043186
0.0,200,174.441289
0.0,200,174.91915
0.0,200,175.339417
0.0,200,175.761908
0.0,200,176.945611
