#{"t_start": 1779876392.7038498, "env_id": "None"}
r,l,t
-64.951374,200,0.639843
-56.900976,200,1.088156
-49.086602,200,1.485171
-32.450879,200,1.869752
-60.716375,200,2.265646
-44.137533,200,2.629216
-83.805931,200,3.745058
-49.949671,200,4.150558
-83.264756,200,4.544773
-69.180121,200,4.953129
-55.395801,200,12.011034
-91.318486,200,12.477074
-55.031655,200,13.574633
-95.066089,200,13.977983
-39.995144,200,14.375432
-57.187694,200,14.70121
-67.482752,200,15.092433
-42.429828,200,15.545594
-59.978718,200,16.715363
-54.497252,200,17.05178
-48.821576,200,20.474359
-96.02532,200,20.904612
-51.165543,200,21.303041
-89.654502,200,21.67318
-28.797344,200,22.044382
-100.015405,200,23.117264
-33.360774,200,23.486861
-81.473621,200,23.859216
-74.714838,200,24.248855
-61.061073,200,24.734402
-68.688213,200,28.223217
-46.013014,200,29.42381
-31.86651,200,29.867779
-43.253708,200,30.255873
-92.756571,200,30.664346
-86.011513,200,31.01365
-52.891456,200,31.473003
-78.443972,200,32.636801
-80.089052,200,33.101243
-54.584046,200,33.457712
-90.83421,200,36.969781
-73.732917,200,37.377627
-47.947586,200,37.75322
-93.754164,200,38.85778
-47.758777,200,39.299112
-61.473173,200,39.668591
-52.713403,200,40.119308
-68.385595,200,40.549545
-88.843211,200,41.001799
9.031753,17,41.035905
-86.29485,200,45.768422
-85.254139,200,46.17843
-50.181335,200,49.726897
-63.927158,200,50.102121
-40.43662,200,50.458753
-69.676117,200,50.80262
-47.867001,200,51.219559
-38.823059,200,52.354031
-39.04144,200,52.811485
-45.514538,200,53.189436
-65.624169,200,53.592816
-52.819382,200,54.001844
-2.599451,133,57.368862
-29.09471,200,58.511904
-41.019624,200,58.905462
-37.127817,200,59.282163
-36.173303,200,59.692359
-32.536485,200,60.116944
-27.201068,200,60.556581
-50.038053,200,61.028141
-72.063191,200,62.171191
-38.026312,200,62.581358
-70.830154,200,66.068779
-75.856088,200,66.40521
-25.405669,200,66.844354
-34.730401,200,67.235395
-38.037727,200,68.350674
-78.560229,200,68.778584
-46.116007,200,69.185362
-36.45764,200,69.558747
-64.924954,200,69.959267
-45.676241,200,70.429852
-74.472484,200,71.469333
-26.627026,200,74.993
-61.144068,200,75.410336
-39.012078,200,75.785949
-31.416488,200,76.187597
-36.509737,200,76.618188
-54.513549,200,81.321527
-39.949619,200,81.760768
-25.264831,200,82.14078
-46.51607,200,82.598568
-22.539431,200,83.004541
-52.196803,200,86.398141
-68.264965,200,86.77893
-79.232805,200,87.910685
-71.958296,200,88.281534
-41.827182,200,88.681367
-37.079539,200,89.097058
-61.835118,200,89.549309
-32.292218,200,89.913688
-45.070117,200,90.977924
-29.447325,200,91.383431
-36.260331,200,94.967848
-26.128784,200,95.316
-44.472929,200,95.677559
-43.339756,200,96.073625
-44.051895,200,97.088458
-59.099967,200,97.54208
-56.890502,200,97.8796
-29.62984,200,98.264031
-33.225661,200,98.751113
-74.633564,200,99.174031
-54.552002,200,103.415196
-31.973871,200,103.804692
-47.945411,200,104.248864
-26.720435,200,104.66942
-80.930742,200,105.056507
-34.515953,200,105.465359
-1.906487,105,105.711556
-33.534806,200,106.767665
-29.291365,200,107.208627
-1.111829,91,107.376863
9.788567,4,107.382812
-57.886719,200,107.751738
-5.031264,106,108.006331
-8.854301,130,111.446648
-29.367384,200,111.851927
-70.870641,200,112.269804
-32.317941,200,113.272749
-10.975035,180,113.638448
-34.762033,200,117.669675
-59.7369,200,118.072041
-55.552657,200,118.496603
-5.012502,112,118.785091
-4.372803,128,119.110568
-47.969475,200,119.970219
5.650274,46,120.045588
-63.515084,200,123.44724
-42.666178,200,123.887617
-63.405652,200,124.257761
-56.870143,200,124.648978
-4.873707,124,124.951983
-3.649462,126,125.742375
-41.397515,200,126.134896
-7.40377,137,126.431053
-15.123567,200,126.867481
-40.437978,200,127.251588
-66.455849,200,127.613915
-40.01217,200,127.971693
-20.898392,200,132.096211
-38.706327,200,132.509046
-34.52654,200,132.89664
-52.975857,200,133.269988
-44.212086,200,133.701367
-74.437042,200,134.095814
0.853273,69,134.229764
-8.217883,162,135.086372
-48.582761,200,135.424575
-29.386281,200,135.831605
-39.25983,200,136.190021
-51.969077,200,139.791839
-9.598818,161,140.064382
-10.157502,155,140.37524
-9.845517,133,141.03882
-19.967739,183,141.425174
-8.857028,141,141.742744
-46.531132,200,142.133366
-5.085971,128,142.375568
-58.471216,200,142.763416
-40.556179,200,143.149727
-39.85465,200,143.95318
-40.576631,200,147.415848
-3.442727,94,147.651171
-16.205792,184,148.035154
-5.192382,117,148.2715
-5.380837,102,148.48059
-13.993139,167,148.85199
-10.465081,133,149.0996
2.863598,77,149.233224
-33.993911,200,153.637871
-22.292159,200,154.027497
4.641391,44,154.097408
-5.656426,104,154.352279
-23.679884,181,154.68646
-7.591217,122,154.925563
-36.01422,200,155.325246
0.822482,84,155.48865
2.32955,69,158.799948
-60.337033,200,159.631933
-19.931182,166,159.98404
-17.558709,168,160.307133
-14.307093,168,160.601224
-22.875126,200,161.044159
0.082749,87,161.19236
2.42024,73,161.318251
-17.197916,178,161.663623
-1.755223,81,161.844619
-9.278798,121,162.493415
-35.904051,200,162.897365
-10.578093,137,163.168622
1.630205,89,163.373468
-8.799894,154,166.771524
4.242376,65,166.878696
-9.193566,133,167.137239
-2.824591,82,167.320615
-3.578298,92,167.529008
-28.230077,173,167.861741
-23.867469,184,168.696711
-28.985568,200,169.203532
-63.206436,200,169.576414
-30.341505,192,169.959083
-5.905531,100,170.136803
-48.785395,200,170.55047
-16.122756,155,170.862025
2.810324,80,171.024014
7.755375,25,171.395641
-7.381917,111,171.628797
