#{"t_start": 1779961019.5187764, "env_id": "None"}
r,l,t
-33.414595,200,1.808063
-47.201084,200,2.215607
-66.658459,200,2.641134
-87.933766,200,3.092495
-42.190592,200,3.561478
-80.787678,200,4.076789
-106.689695,200,5.948925
-72.218681,200,6.373342
-36.825028,200,6.784989
-40.63477,200,7.178949
-55.622016,200,15.848498
-20.192627,200,16.399089
-91.003038,200,18.382316
-63.211665,200,18.813368
-65.381085,200,19.306767
-73.911328,200,19.728999
-76.277065,200,20.096394
-48.849758,200,20.440581
-83.042566,200,22.278247
-65.201392,200,22.661783
-80.669888,200,25.975461
-32.599621,200,26.432291
-76.166291,200,26.891631
-79.106769,200,27.254553
-36.191294,200,27.681968
-78.342484,200,29.676838
-101.994757,200,30.060798
-75.399257,200,30.460717
-90.933684,200,30.844063
-75.34889,200,31.195031
-49.576852,200,34.528878
-59.747902,200,36.491432
-73.861328,200,36.892911
-50.96524,200,37.335653
-58.945842,200,37.86198
-69.788352,200,38.212479
-63.226425,200,38.627029
-92.805682,200,40.451984
-59.97387,200,40.900571
-62.447208,200,41.350967
-55.580459,200,44.765338
-63.993427,200,45.15552
-59.881843,200,45.576372
-32.682354,200,50.447936
-46.892174,200,50.918421
-85.764175,200,51.310184
-44.966143,200,51.815655
-52.481612,200,52.174723
-76.242574,200,52.692219
-30.486961,200,53.038299
-62.061321,200,54.913963
-36.195653,200,58.24295
-72.876633,200,58.70996
-41.681501,200,59.160469
-59.500323,200,59.660602
-60.508207,200,60.203571
-92.76367,200,62.2183
-83.705758,200,62.654176
-37.178855,200,63.063385
-57.50139,200,63.515305
-26.220307,200,63.993155
-74.812194,200,67.672801
-78.773303,200,69.785607
-82.758793,200,70.36767
-51.78406,200,70.823229
-57.757891,200,71.400035
-65.080384,200,71.794357
-35.057675,200,72.277841
-62.41772,200,74.454361
-86.196837,200,74.847485
4.324517,65,75.003452
-59.795467,200,75.567872
-68.89598,200,79.231871
-50.840944,200,79.686564
-25.528275,200,80.062325
-52.069913,200,83.493486
-40.650883,200,83.896214
