#{"t_start": 1779962548.8532073, "env_id": "None"}
r,l,t
-138.706796,200,0.939943
-156.366503,200,1.491191
-140.86844,200,2.003423
-146.459593,200,2.427234
-121.327422,200,2.878499
-28.830211,77,3.036041
-147.683184,200,4.911944
-179.714659,200,5.307226
-163.489627,200,5.775494
-150.078778,200,6.240035
-127.074957,200,9.693963
-137.601004,200,10.123615
-148.673107,200,10.585026
-130.964331,200,12.503608
-120.933374,200,12.974836
-117.840127,200,13.421829
-133.893451,200,13.898047
-145.213646,200,14.291091
-155.679867,200,17.631534
9.325458,7,17.653136
-158.742297,200,19.582456
-136.403883,200,20.075634
-162.844975,200,23.660264
-139.123476,200,24.107637
-157.989488,200,24.566599
-122.462625,200,25.027845
-160.754026,200,27.869911
-51.761084,121,28.276189
-115.009006,200,28.755909
-128.620197,200,29.147592
-155.326034,200,29.599394
-149.103549,200,30.058835
-116.686781,200,33.546765
-156.062689,200,35.721589
-86.305944,180,36.188142
-136.463744,200,36.608984
-104.847163,200,37.227591
-135.502484,200,37.665892
-113.934562,200,38.231958
-158.208543,200,40.423848
-131.584196,200,40.891593
-112.423579,200,41.332684
-143.822578,200,41.819692
-159.587792,200,45.414297
-114.214808,200,45.863894
-127.917044,200,48.03539
-144.017989,200,48.582149
-131.801723,200,49.041897
-144.499338,200,49.478919
-139.012584,200,53.017924
-159.440132,200,53.519984
-166.963952,200,53.894096
-146.836401,200,56.148583
-108.350476,200,59.672504
-79.876488,200,60.133446
-137.691393,200,60.630568
-110.595032,200,61.170896
-140.25241,200,61.829807
-134.374992,200,63.943971
-107.726245,200,64.443937
-129.757227,200,64.933947
-159.932181,200,65.455038
-144.247687,200,65.974817
-82.17602,200,69.456
-135.604633,200,71.477534
-92.302632,200,71.9756
-102.698215,200,72.478616
-132.046276,200,72.952685
-108.336888,200,73.464062
-126.42702,200,73.953741
-113.398329,200,76.017735
-126.732058,200,76.507031
-166.551321,200,76.93229
7.32365,10,76.953313
-90.73603,200,80.591241
-106.010986,200,80.946816
-129.403487,200,81.428366
-126.365956,200,81.899295
-130.235485,200,83.926473
-116.923984,200,84.434174
-119.46996,200,84.913899
-125.748289,200,88.292228
-96.481354,200,88.76454
-99.334842,200,89.311017
-69.238678,200,94.346204
-62.992731,200,94.905681
-96.199131,200,95.44446
-115.326622,200,95.984096
-126.314912,200,96.520391
-122.990301,200,96.997694
-117.882017,200,98.934529
-146.486016,200,99.58801
-83.187958,200,100.065509
-104.039991,200,100.706052
-107.073127,200,101.252416
-76.977395,200,104.663542
-105.069093,200,106.437171
-85.142976,200,106.873712
-140.966641,200,107.32689
-106.534957,200,107.751009
-93.376473,200,108.158408
-102.827558,200,108.619472
-96.279536,200,109.0826
-109.307374,200,110.947189
-15.219569,105,111.201878
-106.248354,200,114.893359
-20.977822,87,115.162181
-105.322832,200,115.811903
-106.111351,200,116.340037
-92.637758,200,116.815169
-68.175726,200,118.809571
-121.588256,200,119.454251
-86.792948,200,119.959979
-59.11902,200,123.492867
-97.19434,200,124.011222
-88.654404,200,124.637572
-102.844457,200,130.082012
-70.25355,200,130.769789
-98.715586,200,131.313102
-90.228992,200,131.773599
-102.545445,200,132.255182
-60.083332,200,132.743796
-95.335267,200,134.626098
-64.908177,200,135.196416
-74.306372,200,135.861668
-20.904918,73,136.072527
-75.256618,200,136.494001
-69.431122,200,140.281777
-97.611441,200,140.835603
-94.14034,200,142.825454
-54.661807,200,143.416115
-108.321447,200,143.959982
-55.694502,200,144.462085
-64.381275,200,144.943192
-66.630249,200,145.450798
-79.771543,200,147.286725
-83.922302,200,147.679259
-71.635653,200,151.354196
-62.128568,200,151.992238
-95.81496,200,152.583607
-71.496888,200,153.133882
-107.112594,200,153.537732
-48.896651,173,155.281663
-86.827462,200,155.674026
-77.829505,200,159.146179
-92.135967,200,159.668265
0.232891,34,159.781495
-74.431171,200,160.341479
-80.254752,200,160.834429
-80.715748,200,165.99606
-64.048388,200,166.44267
-76.461493,200,166.902776
-75.195706,200,167.301993
-55.484927,200,167.777182
-75.079394,200,168.413453
-94.625805,200,170.341341
-89.185441,200,170.751231
-51.912743,200,171.250863
-69.873974,200,171.694784
-73.333589,200,175.317353
-63.369702,200,175.75323
-77.03019,200,177.283572
-81.915079,200,177.622103
6.89569,21,177.654782
-59.805988,200,178.115162
-62.621466,200,178.666393
-63.881307,200,179.159949
-55.366546,200,179.636301
-4.516167,62,179.817958
-89.065842,200,181.571839
-76.104874,200,182.020196
-75.229741,200,185.605399
-96.376705,200,186.11692
-77.13485,200,186.62602
-58.56768,181,187.116523
-58.196107,200,187.524333
-61.233547,200,189.384014
-47.300347,200,189.885963
-77.236146,200,190.282275
-69.956192,200,190.740508
-37.246695,126,190.987743
-63.721176,200,197.447122
-49.192484,200,199.196926
-79.764956,200,199.605782
-60.264011,200,200.028244
-65.990482,200,200.421613
-57.48291,200,200.828377
-96.77018,200,201.40287
-68.285422,200,203.333539
-76.951541,200,203.821157
6.163914,16,203.855137
-55.046257,200,204.241691
7.307107,10,204.258671
-57.463467,200,207.760158
-78.857295,200,208.106318
-86.580194,200,208.542599
-36.412444,169,208.899765
-62.280954,200,210.660714
-9.979885,88,210.898496
7.070144,21,210.949644
-54.334726,200,211.453388
-7.462702,89,211.686196
-51.464584,200,212.113806
-49.058431,200,212.488437
-61.635748,200,213.012857
-16.375677,154,214.711768
