#{"t_start": 1779962335.4238825, "env_id": "None"}
r,l,t
-116.833378,200,2.197635
-160.775314,200,2.66354
-126.204942,200,3.021448
-165.306284,200,3.459864
-181.663085,200,3.944071
-113.243,200,4.287529
-149.50745,200,6.02073
-144.060442,200,6.52257
-152.730636,200,6.954484
-158.327532,200,7.438612
-117.340101,200,10.900961
-92.558944,200,11.303662
-201.705446,200,13.096111
-86.411978,200,13.520957
-146.582736,200,13.950835
-163.879107,200,14.363619
-145.820658,200,14.830609
-109.781081,200,15.370556
-134.00478,200,20.124947
-125.224948,200,20.627407
-106.980492,200,24.00654
-170.239165,200,24.411336
-142.654416,200,24.781148
-136.01874,200,25.190174
-132.928097,200,25.638122
-135.394932,200,27.829168
-151.381578,200,28.280144
-118.053651,200,28.699636
-152.552051,200,29.135055
-142.044997,200,29.546643
-158.167101,200,32.89448
-130.376207,200,34.795947
-26.176584,66,34.980263
-80.323741,120,35.194455
-153.695025,200,35.579512
-142.375553,200,36.002846
-112.796799,200,36.423938
-114.399106,200,36.847878
-88.512679,200,38.733049
-159.465099,200,39.114896
-124.161339,200,39.594056
-129.504241,200,40.009094
-157.441987,200,43.475181
-160.413567,200,43.962712
-121.334693,200,45.882346
-138.855883,200,46.294345
-172.926447,200,46.841497
-146.954425,200,47.447037
-94.515953,200,47.876751
-124.46784,200,48.451708
-124.601714,200,48.886944
-80.636779,200,50.587359
-141.494465,200,56.822688
-118.890319,200,57.167945
-118.961008,200,57.650857
-131.567111,200,58.233851
-90.187098,200,58.629719
-142.898895,200,60.447408
-135.340457,200,60.944762
-114.206552,200,61.430031
-88.147138,200,62.083501
-133.388639,200,62.479544
-127.791902,200,65.832407
-133.834516,200,67.75814
8.169281,13,67.789091
-113.151626,200,68.308925
-149.758333,200,68.754721
-162.133171,200,69.167967
-138.102798,200,69.605926
-131.25788,200,70.128251
-105.345146,200,71.909536
-23.354668,95,72.084025
-78.646501,200,72.496171
-138.780388,200,72.920533
-122.708641,200,76.347243
-92.396581,200,76.845908
-97.547327,200,77.390778
-120.408599,200,79.606194
-103.136818,200,80.172083
-76.942672,200,80.595507
-129.942266,200,81.191741
-113.335808,200,81.673561
-101.645149,200,82.173908
-100.46678,200,84.207442
-47.295046,133,90.415735
-89.632114,200,90.932308
-121.842226,200,91.399474
-150.883832,200,91.796719
-127.852969,200,92.309897
-130.331568,200,92.884688
-140.314018,200,94.853939
-148.82302,200,95.296577
-93.803419,200,95.779815
-104.831704,200,96.295507
-123.545635,200,96.806395
-115.535613,200,100.101769
-95.924093,200,102.475258
-63.015887,169,102.958486
-127.553069,200,103.578909
-131.45789,200,104.010266
-71.13724,200,104.505749
-68.685562,200,105.166307
-107.848106,200,105.77491
-91.905355,200,108.108241
-78.612929,200,108.493288
-117.552616,200,111.855597
-94.517095,200,112.509605
-72.611767,200,113.032563
-103.174538,200,113.556555
-74.734268,200,115.785891
-73.877932,200,116.329765
-88.982459,200,116.879029
-87.683454,200,117.393395
-80.026756,200,117.835269
-86.489734,200,118.270904
-78.196816,200,126.330992
-111.315144,200,126.756876
-83.697521,200,127.126918
-123.010891,200,127.6204
-121.259164,200,128.108177
-92.008456,200,128.600439
-64.638458,200,130.60524
-90.892275,200,131.316442
-83.311358,200,131.75646
-99.581619,200,132.097785
-88.772274,200,135.73174
-118.921899,200,136.287375
-13.009383,97,136.591085
-73.442531,200,138.506429
-91.621093,200,139.080663
-80.378518,200,139.630259
3.305675,35,139.721438
-89.881598,200,140.320762
-99.232472,200,140.752627
-103.498794,200,141.193903
-71.466553,200,143.202978
-60.690683,200,143.716977
-63.863278,200,147.216639
-114.188067,200,147.772437
-92.242178,200,148.25304
-78.121928,200,148.646596
-35.353229,133,148.927374
-95.855186,200,150.983269
-92.279924,200,151.411579
-88.301759,200,151.891607
-81.100784,200,152.432642
-79.214646,200,152.904516
3.306595,24,152.946232
-49.589448,200,156.531867
-75.747328,200,161.518655
-88.855255,200,162.003166
-73.655281,200,162.474795
-81.491427,200,162.9284
-88.235508,200,163.405523
-67.858522,200,163.753537
-77.160098,200,165.696453
-64.566729,200,166.167691
-54.809822,200,166.529698
4.125077,24,166.579198
-72.957632,200,166.974937
-45.250258,200,170.416653
-97.311112,200,170.880444
-63.012987,200,172.712366
-66.209291,200,173.196015
-82.539126,200,173.634502
-81.214921,200,174.083507
-63.087886,200,174.519158
-106.052437,200,174.940497
-89.886183,200,176.771681
-25.076504,164,177.140818
-102.103075,200,180.664389
-42.753159,200,181.138228
-53.800306,200,181.512589
-89.313981,200,181.953602
-88.306096,200,182.328838
-63.038264,200,184.409456
-79.824458,200,184.760103
-0.702336,49,184.8361
-51.21559,200,185.214183
-46.979505,200,185.611195
-77.395968,200,186.074787
-53.798385,200,189.572157
-73.251981,200,191.366249
6.196668,23,191.406384
-58.603058,200,191.755497
5.484714,35,191.849601
-75.436083,200,192.333427
-111.90472,200,192.767296
-57.446366,200,196.200527
-52.920767,200,196.637072
-42.802816,200,198.401149
-73.521128,200,198.817417
-49.40312,200,199.221252
-23.370719,162,202.595415
-98.718524,200,203.011556
-51.426671,200,203.427145
-66.529062,200,205.364317
-58.098285,200,205.81157
-61.82436,200,206.270853
8.805993,9,206.290474
7.368798,16,206.331444
7.129104,21,206.380266
-57.201541,200,206.860729
-81.935935,200,207.360575
-56.285732,200,207.888864
-72.422186,200,209.700977
