#{"t_start": 1779754489.4065113, "env_id": "None"}
r,l,t
-33.370361,200,1.870623
-62.049683,200,2.393409
-52.323514,200,2.876701
-74.250589,200,3.314459
-72.015784,200,3.727011
-35.208419,200,4.089762
-95.912103,200,5.316758
-68.480865,200,5.781577
-49.525055,200,6.189464
-38.717663,200,6.533912
-94.446746,200,10.435532
-58.392683,200,10.853622
-87.693547,200,15.012202
-69.671079,200,15.430354
-64.585729,200,15.902029
-102.790705,200,16.36388
-61.766143,200,16.827923
-81.022783,200,17.274964
-107.229255,200,18.479748
-42.353284,200,18.970356
-77.412863,200,22.502764
-56.137608,200,22.944118
-86.179416,200,23.356423
-70.664376,200,23.760107
-54.17415,200,24.273936
-50.345152,200,25.41432
-70.274412,200,25.894778
-39.39483,200,26.294318
-28.5551,200,26.728272
-70.617903,200,27.184757
-84.365502,200,30.85405
-76.758794,200,32.017665
-80.014472,200,32.461895
-34.837855,200,32.933187
-74.332668,200,33.525165
-42.998411,200,33.986725
-79.921257,200,34.42123
-41.035432,200,35.622217
-37.082319,200,36.09943
-82.691296,200,36.463073
-55.432499,200,40.319844
-39.047908,200,40.819896
-59.885546,200,41.206976
-96.719105,200,42.403967
-72.346402,200,42.840803
-45.55713,200,43.304228
-44.359703,200,43.722521
-62.908044,200,44.140099
-32.240748,200,44.521718
-48.3359,200,44.99381
-57.671911,200,46.596145
-65.052074,200,54.290159
-59.651857,200,54.934473
-74.48229,200,55.500704
-61.52496,200,56.086818
-49.656458,200,56.602218
-67.081552,200,57.83711
-67.124502,200,58.377764
-74.559182,200,58.900946
-74.768517,200,59.393016
-21.051127,200,59.768543
-57.844924,200,63.466718
-82.34736,200,64.683397
-80.611641,200,65.151504
-36.696548,200,65.641644
-53.278876,200,66.042903
-99.28624,200,66.481136
-83.414027,200,66.964801
3.168438,59,67.07176
-76.091606,200,68.28841
-40.898342,200,68.805011
-39.774608,200,69.250683
-37.663656,200,73.053095
-23.725832,200,73.509574
-95.057416,200,73.972328
-65.342181,200,75.190255
-52.183021,200,75.690734
-19.951549,200,76.246461
9.64746,6,76.264991
-45.676628,200,76.88675
-52.420529,200,77.422101
-32.297097,200,77.859276
-73.398416,200,79.069253
-35.784899,200,86.357934
-41.248058,200,86.833306
-29.640392,200,87.367941
3.888462,74,87.54744
-80.238692,200,88.054893
-62.482071,200,88.535995
-31.11091,200,89.796285
-57.551217,200,90.242121
-37.225258,200,90.681165
-44.852002,200,91.216202
-58.120168,200,91.631004
-30.666981,200,95.808095
-54.418702,200,96.308125
-73.904218,200,97.596183
-30.688389,200,98.217335
-58.730003,200,98.648443
-80.728818,200,99.189836
-49.920053,200,99.655897
-50.974851,200,100.086482
-49.05193,200,101.351776
-31.709105,200,101.950748
-33.759624,200,105.904491
-32.370191,200,106.467065
-53.5141,200,107.015824
-47.017747,200,107.549329
-76.315451,200,108.683209
-45.0335,200,109.132426
-55.194142,200,109.598486
-39.081738,200,110.128421
-69.404278,200,110.516224
-30.591091,200,111.027812
-54.770578,200,115.622174
-84.749254,200,116.181844
-26.625656,200,116.747881
-44.030593,200,117.368287
-29.672234,200,117.850018
-63.365655,200,121.35458
-0.916035,130,121.649938
-43.256147,200,122.858114
-62.056769,200,123.342524
-59.603092,200,123.722903
-29.639968,200,124.11738
-69.436361,200,127.792168
-11.654169,143,128.09061
-65.22269,200,129.213856
-54.65623,200,129.700656
-27.060425,200,130.079886
1.018372,89,130.329458
-1.701809,93,130.575179
-75.493329,200,131.086217
-18.175753,200,131.587401
-82.707883,200,132.014897
-64.189825,200,132.889873
-83.231823,200,133.309998
-16.242712,179,136.85987
-55.109188,200,137.332572
-58.779957,200,137.818938
-38.815868,200,138.207353
-15.832051,182,139.203971
-22.543945,200,139.598154
-54.032769,200,140.047515
-34.192882,200,140.439025
-73.230335,200,140.839361
5.023712,48,140.958729
-64.892277,200,141.378202
-52.412279,200,145.692634
4.864618,58,145.819685
-22.995116,198,146.273608
-5.075921,145,146.59359
-38.200034,200,147.063709
6.812447,47,147.157306
-44.315581,200,147.645494
-5.326641,120,147.879119
-41.290475,200,148.303357
-18.370532,191,149.26685
-33.1867,200,149.706536
-59.164138,200,150.228358
-2.013764,87,150.400649
-68.892898,200,157.018027
0.624216,112,157.304196
-56.676292,200,157.788887
-4.328274,124,158.612415
-42.158974,200,159.066488
-53.131025,200,159.458808
-2.029537,92,159.685097
-35.723022,200,160.153245
-9.00132,108,160.35761
-18.905625,200,160.765533
-14.03613,139,161.087622
-14.289844,172,161.911118
-9.157593,157,162.219973
